Lookup,Commercial_Mapping,Retail_Mapping,BU,FUM,REPORTING_DATE,DIVISION_NAME,DEAL_SOURCE_SYSTEM,PSGL_PRODUCT_CODE,PSGL_ACCOUNT_CODE,PROFIT_CENTRE,PSGL_AFFILIATE_CODE,PSGL_PRODUCT_CODE_12,DEAL_TYPE,DEAL_SUBTYPE,_rca_bookv_
1424504AMB052*,Variable,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB052,1424504,37590333,*,AMB052,AMB052,,325000
1424504AMB052*,Variable,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB052,1424504,37590111,*,AMB052,AMB052,,"2880835,45"
1424504AMB052*,Variable,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB052,1424504,47590111,*,AMB052,AMB052,,"137281,94"
1424504AMB052*,Variable,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB052,1424504,67590111,*,AMB052,AMB052,,"89210,12"
1426304AMB040*,Lease,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB040,1426304,27590333,*,AMB040,AMB040,,"287738,1"
1426304AMB040*,Lease,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB040,1426304,67590111,*,AMB040,AMB040,,"5932599,67"
1426304AMB040*,Lease,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB040,1426304,37590222,*,AMB040,AMB040,,"173062,8"
1426304AMB040*,Lease,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB040,1426304,57590111,*,AMB040,AMB040,,"270553,12"
1426304AMB040*,Lease,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB040,1426304,27590222,*,AMB040,AMB040,,"15574,14"
1426304AMB040*,Lease,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB040,1426304,27590111,*,AMB040,AMB040,,"534645,21"
1426304AMB040*,Lease,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB040,1426304,47590333,*,AMB040,AMB040,,"620513,67"
1426304AMB040*,Lease,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB040,1426304,37590111,*,AMB040,AMB040,,"2899331,93"
1426304AMB040*,Lease,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB040,1426304,37590333,*,AMB040,AMB040,,"1018064,01"
1426304AMB040*,Lease,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB040,1426304,67590333,*,AMB040,AMB040,,302400
1427004AMB010*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB010,1427004,57590333,*,AMB010,AMB010,,"7589,69"
1427004AMB010*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB010,1427004,37590222,*,AMB010,AMB010,,"7076,87"
1427004AMB010*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB010,1427004,27590333,*,AMB010,AMB010,,"2394497,22"
1427004AMB010*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB010,1427004,67590111,*,AMB010,AMB010,,"417905,09"
1427004AMB010*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB010,1427004,27590111,*,AMB010,AMB010,,"2714353,64"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,27590333,*,AMB050,AMB050,,"217992279,7"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,67590111,*,AMB050,AMB050,,"440524000,2"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,67590333,*,AMB050,AMB050,,"28689951,46"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,57590222,*,AMB050,AMB050,,"41768893,87"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,27590111,*,AMB050,AMB050,,"161224117,3"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,47590333,*,AMB050,AMB050,,"220659136,1"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,47590111,*,AMB050,AMB050,,"161029557,5"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,47590555,*,AMB050,AMB050,,"1275741,82"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,37590555,*,AMB050,AMB050,,"995123,02"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,37590111,*,AMB050,AMB050,,"384381472,4"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,57590555,*,AMB050,AMB050,,"90474,74"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,37590333,*,AMB050,AMB050,,"327994748,5"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,67590555,*,AMB050,AMB050,,"2011235,23"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,37590222,*,AMB050,AMB050,,"176315241,1"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,27590555,*,AMB050,AMB050,,"3015763,98"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,47590222,*,AMB050,AMB050,,"72847058,91"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,57590333,*,AMB050,AMB050,,"33910790,6"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,67590222,*,AMB050,AMB050,,"41513233,81"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,57590111,*,AMB050,AMB050,,"270974688,6"
1427019AMB050*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB050,1427019,27590222,*,AMB050,AMB050,,"136339831,6"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,27590333,*,AMB051,AMB051,,"19060500,1"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,47590111,*,AMB051,AMB051,,"56774453,95"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,57590111,*,AMB051,AMB051,,"42466885,47"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,37590111,*,AMB051,AMB051,,"118839948,6"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,47590333,*,AMB051,AMB051,,"13127176,95"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,37590222,*,AMB051,AMB051,,"1083977,17"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,47590222,*,AMB051,AMB051,,"68947,66"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,67590333,*,AMB051,AMB051,,"1003836,42"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,37590555,*,AMB051,AMB051,,"30996,28"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,67590555,*,AMB051,AMB051,,"5841927,11"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,27590222,*,AMB051,AMB051,,"813204,91"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,27590111,*,AMB051,AMB051,,"13483319,7"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,67590222,*,AMB051,AMB051,,"424328,1"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,57590333,*,AMB051,AMB051,,"11542957,15"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,37590333,*,AMB051,AMB051,,"62780183,71"
1427021AMB051*,Hire Purchase,,Asset Finance,Net loans and advances,2024-07-31,Commercial Division,AMBAU,AMB051,1427021,67590111,*,AMB051,AMB051,,"50615077,46"
