,Project,Dataset,Table,Created,Modified,RowCount
0,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,CAPIDSAU_BTRCDA_01_VW,2024-08-21|04:44:40.806000,2024-08-21|04:44:40.806000,0
1,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,DragonFish_Transaction,2024-09-16|09:25:30.442000,2024-09-16|09:25:30.442000,0
2,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,Stg_Transaction_Whole_Bank,2024-09-12|06:18:35.213000,2024-09-12|06:18:35.213000,0
3,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,TermDeposit_Transaction,2024-09-16|09:28:31.486000,2024-09-16|09:28:31.486000,0
4,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,WholeBank_Transaction,2024-09-13|00:17:34.449000,2024-09-13|00:17:34.449000,0
5,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,all_transaction,2024-09-21|04:50:13.048000,2024-09-21|04:50:13.048000,0
6,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,bsb_cc_mapping,2024-09-21|04:49:50.216000,2024-09-21|04:49:50.216000,0
7,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,bsb_cc_mapping_rsv,2024-09-20|10:37:08.186000,2024-09-20|10:37:08.186000,0
8,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,cda_bsb_cc_mapping,2024-08-30|08:29:54.583000,2024-08-30|08:29:54.583000,1286232
9,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,consumer_card_transaction,2024-09-21|04:50:08.410000,2024-09-21|04:50:08.410000,0
10,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,country,2024-09-21|04:49:51.204000,2024-09-21|04:49:51.205000,5
11,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,dda_bsb_cc_mapping,2024-08-30|08:25:48.114000,2024-08-30|08:25:48.114000,10256378
12,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,df_transaction,2024-09-21|04:50:08.441000,2024-09-21|04:50:08.441000,0
13,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,fum_flow,2024-09-06|10:45:06.210000,2024-09-06|10:45:06.211000,521968
14,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_analytics_fireant,fum_flow_v,2024-08-29|04:11:01.787000,2024-09-05|03:50:54.214000,0
