,Project,Dataset,Table,Created,Modified,RowCount
0,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,FUM_FLOW_PSGL_DAILY_V,2024-08-14|02:52:22.720000,2024-08-16|02:38:39.565000,0
1,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,FUM_FLOW_PSGL_VALIDATION_V,2024-08-16|02:01:22.019000,2024-08-19|04:45:05.969000,0
2,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,cda_bsb_cc_mapping_v0,2024-09-12|03:41:04.118000,2024-09-12|03:41:04.119000,56731805
3,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,dda_bsb_cc_mapping_v0,2024-09-12|03:43:27.128000,2024-09-12|03:43:27.129000,10243742925
4,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_flow_current,2024-08-29|05:46:38.196000,2024-08-29|05:46:38.563000,0
5,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_flow_current_vw,2024-09-04|07:00:03.169000,2024-09-04|07:00:03.169000,0
6,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_flow_current_vw_v1,2024-09-05|10:24:39.280000,2024-09-05|16:23:05.163000,0
7,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_flow_current_vw_v2,2024-09-19|05:55:30.336000,2024-09-19|05:55:30.336000,0
8,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_flow_historical_vw_v1,2024-09-09|03:34:36.203000,2024-09-09|03:34:36.203000,0
9,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_flow_historical_vw_v2,2024-09-12|03:55:39.174000,2024-09-12|03:55:39.174000,0
10,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_flow_initial,2024-08-29|05:47:50.038000,2024-08-29|05:47:50.459000,0
11,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_flow_initial_vw,2024-09-04|07:00:03.167000,2024-09-04|07:00:03.167000,0
12,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_flow_initial_vw_v1,2024-09-05|10:24:39.195000,2024-09-05|16:23:27.191000,0
13,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_flow_initial_vw_v2,2024-09-19|05:55:50.777000,2024-09-19|05:55:50.777000,0
14,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_flow_whole_bank_current_vw,2024-08-29|11:36:42.314000,2024-08-29|11:36:42.314000,0
15,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_flow_whole_bank_initial_vw,2024-08-29|11:36:42.252000,2024-08-29|11:36:42.252000,0
16,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,fum_validation_view,2024-09-19|03:03:45.231000,2024-09-19|03:03:45.231000,0
17,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,hier_psgl_v0,2024-08-27|04:14:30.553000,2024-08-27|04:14:30.553000,43552
18,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,hl_bsb_cc_mapping_v0,2024-09-13|07:37:41.170000,2024-09-13|07:37:41.170000,1154395779
19,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,nguyea57_bsb_cc_mapping_v0,2024-09-18|09:49:01.758000,2024-09-18|09:49:01.758000,29290175
20,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,nguyek42_bsb_cc_mapping,2024-09-17|03:58:01.700000,2024-09-17|03:58:01.701000,11488452724
21,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,nguyek42_bsb_cc_mapping_v0,2024-09-17|03:37:52.303000,2024-09-17|03:37:52.304000,16873577103
22,anz-x-cosmos-prod-expt-3e0729,pd_cosmos_fireant_reporting,nguyek42_reg_mapping_union,2024-09-15|15:20:24.436000,2024-09-15|15:20:24.437000,1326
